Winning_Team,Losing_Team,Winner_Location,Winning_Teams_Passing_Yards,Winning_Teams_Rushing_Yards,Winning_Teams_Sacks,Losing_Team_Penalty_Yards,Winning_Team_Turnover_Margin,Winning_Team_Total_Yrds,Winning_Defense_Special_Team_TD,Round,
Detroit,Tampa Bay,Home,-1 to -50,1 to 50,2,1 to 50,2,-1 to -50,0,Divisional,
Kansas City,Buffalo,Away,1 to 50,-1 to -50,0,1 to 50,-1,-1 to -50,0,Divisional,
Kansas City,Baltimore,Away,-1 to -50,1 to 50,2,51 to 100,3,-1 to -50,0,Championship,
San Francisco,Detroit,Home,-1 to -50,1 to 50,0,1 to 50,0,-1 to -50,0,Championship,
Kansas City,San Francisco,Neutral,51 to 100,1 to 50,-2,-1 to -50,0,51 to 100,0,Super Bowl,
San Francisco,Seattle,Home,51 to 100,51 to 100,2,1 to 50,2,151 to 200,0,Wild Card,
Jacksonville,LA Chargers,Home,1 to 50,1 to 50,-1,1 to 50,-5,51 to 100,0,Wild Card,
Buffalo,Miami,Home,101 to 150,51 to 100,-3,1 to 50,1,151 to 200,-1,Wild Card,
NY Giants,Minnesota,Away,1 to 50,51 to 100,-3,-1 to -50,0,51 to 100,0,Wild Card,
Cincinnati,Baltimore,Home,-1 to -50,-101 to -150,-2,-1 to -50,-1,-101 to -150,1,Wild Card,
Dallas,Tampa Bay,Away,-1 to -50,51 to 100,-1,1 to 50,1,1 to 50,0,Wild Card,
Kansas City,Jacksonville,Home,1 to 50,0,2,-1 to -50,2,1 to 50,0,Divisional,
Philadelphia,NY Giants,Home,1 to 50,101 to 150,4,-1 to -50,1,151 to 200,0,Divisional,
Cincinnati,Buffalo,Away,-1 to -50,51 to 100,0,-51 to -100,-1,51 to 100,0,Divisional,
San Francisco,Dallas,Home,-1 to -50,1 to 50,-1,-1 to -50,1,1 to 50,0,Divisional,
Philadelphia,San Francisco,Home,1 to 50,51 to 100,2,1 to 50,3,101 to 150,0,Championship,
Kansas City,Cincinnati,Home,51 to 100,1 to 50,2,1 to 50,1,1 to 50,0,Championship,
Kansas City,Philadelphia,Neutral,-101 to -150,1 to 50,2,-1 to -50,1,-51 to -100,1,Super Bowl,
Cincinnati,Las Vegas,Home,-51 to -100,-1 to -50,-1,1 to 50,2,-51 to -100,0,Wild Card,
Buffalo,New England,Home,51 to 100,51 to 100,3,-1 to -50,2,151 to 200,0,Wild Card,
Tampa Bay,Philadelphia,Home,-1 to -50,1 to 50,-2,1 to 50,3,1 to 50,0,Wild Card,
San Francisco,Dallas,Away,-51 to -100,51 to 100,5,-1 to -50,0,1 to 50,0,Wild Card,
Kansas City,Pittsburgh,Home,150 to 200,1 to 50,-1,1 to 50,-1,201 to 250,-1,Wild Card,
LA Rams,Arizona,Home,101 to 150,51 to 100,1,1 to 50,2,151 to 200,1,Wild Card,
Cincinnati,Tennessee,Away,51 to 100,-51 to -100,-8,-1 to -50,2,-1 to -50,0,Divisional,
San Francisco,Green Bay,Away,-51 to -100,1 to 50,-1,-1 to -50,0,-51 to -100,1,Divisional,
LA Rams,Tampa Bay,Away,1 to 50,1 to 50,1,-1 to -50,-2,51 to 100,0,Divisional,
Kansas City,Buffalo,Home,51 to 100,51 to 100,0,-1 to -50,0,101 to 150,0,Divisional,
Cincinnati,Kansas City,Away,1 to 50,-1 to -50,3,-1 to -50,1,-1 to -50,0,Championship,
LA Rams,San Francisco,Home,51 to 100,1 to 50,-2,-1 to -50,0,101 to 150,0,Championship,
LA Rams,Cincinnati,Neutral,1 to 50,-1 to -50,5,-1 to -50,-2,1 to 50,0,Super Bowl,
Buffalo,Indianapolis,Home,-1 to -50,-51 to -100,-2,1 to 50,0,-51 to -100,0,Wild Card,
LA Rams,Seattle,Away,1 to 50,1 to 50,2,1 to 50,2,51 to 100,1,Wild Card,
Tampa Bay,Washington,Away,51 to 100,51 to 100,-1,1 to 50,0,101 to 150,0,Wild Card,
Baltimore,Tennessee,Away,1 to 50,51 to 100,-4,-1 to -50,0,151 to 200,0,Wild Card,
New Orleans,Chicago,Home,51 to 100,51 to 100,0,-1 to -50,-1,101 to 150,0,Wild Card,
Cleveland,Pittsburgh,Away,-201 to -250,51 to 100,0,1 to 50,5,-151 to -200,1,Wild Card,
Green Bay,LA Rams,Home,101 to 150,51 to 100,4,1 to 50,0,201 to 250,1,Divisional,
Buffalo,Baltimore,Home,-1 to -50,-101 to -150,2,1 to 50,1,-101 to -150,1,Divisional,
Kansas City,Cleveland,Home,101 to 150,1 to 50,0,-1 to -50,1,101 to 150,0,Divisional,
Tampa Bay,New Orleans,Away,-1 to -50,1 to 50,-1,-1 to -50,4,1 to 50,0,Divisional,
Tampa Bay,Green Bay,Away,-1 to -50,1 to 50,4,1 to 50,-1,-1 to -50,0,Championship,
Kansas City,Buffalo,Home,51 to 100,-1 to -50,3,1 to 50,0,51 to 100,0,Championship,
Tampa Bay,Kansas City,Neutral,-1 to -50,1 to 50,2,51 to 100,0,1 to 50,0,Super Bowl,
Houston,Buffalo,Home,-1 to -50,-1 to -50,-4,1 to 50,0,-51 to -100,0,Wild Card,1
Tennessee,New England,Away,-101 to -150,101 to 150,-1,-1 to -50,1,-1 to -50,1,Wild Card,2
